regionp	fdr.result
1	1.80890640655229e-06	1
2	1.03738574403666e-05	1
3	2.20278962665232e-05	1
4	2.59527090720741e-05	1
5	2.67577460756581e-05	1
6	4.21920607713207e-05	1
7	5.07636307559273e-05	1
8	5.49969799607366e-05	1
9	5.86739940888515e-05	1
10	6.92348212255983e-05	1
11	7.98175978558346e-05	1
12	8.72724925188961e-05	1
13	0.000101342141287542	1
14	0.000103411646224225	1
15	0.000113284425206691	1
16	0.000117623644532186	1
17	0.000122552526833013	1
18	0.000130036203883641	1
19	0.000132405773159576	1
20	0.000166866943148538	1
21	0.000175476715075571	1
22	0.000181307694987621	1
23	0.000183113081510505	1
24	0.000187029066272863	1
25	0.000187802258609271	1
26	0.000194824255110705	1
27	0.000196355041025513	1
28	0.000201868887220311	1
29	0.000220098627316776	1
30	0.000229925834223199	1
31	0.000230021142809762	1
32	0.000231203377375531	1
33	0.000248236854853533	1
34	0.000254516668095319	1
35	0.000277433423417422	1
36	0.000304539027986798	1
37	0.000308365501085444	1
38	0.000355902783794778	1
39	0.000374411257696603	1
40	0.000379225664739233	1
41	0.000381201431043845	1
42	0.000383847849015515	1
43	0.000386067439143677	1
44	0.000388984133511906	1
45	0.000406445503775726	1
46	0.000433374213522162	1
47	0.000471092155224466	1
48	0.000484716134477474	1
49	0.000501305973366248	1
50	0.000531916676969462	1
51	0.000532214460391491	1
52	0.00054391680121601	1
53	0.00055182969945336	1
54	0.000553151730008001	1
55	0.000553870835560437	1
56	0.000554750007416228	1
57	0.000562711794620227	1
58	0.000572034083671073	1
59	0.00060398400176509	1
60	0.000611155320693356	1
61	0.000613373461336398	1
62	0.000619517944264716	1
63	0.000621194787468773	1
64	0.00062203124872218	1
65	0.000626253413338352	1
66	0.000630546500728338	1
67	0.000637004460599421	1
68	0.000638147989422794	1
69	0.000644088025984424	1
70	0.000662936304693602	1
71	0.000701182936754702	1
72	0.000708014909501851	1
73	0.000718210851595593	1
74	0.000724622001237051	1
75	0.000737981328879118	1
76	0.000738048260010826	1
77	0.000751017178730833	1
78	0.000754344550688318	1
79	0.000777834411523577	1
80	0.00078691220519739	1
81	0.000798859653017121	1
82	0.000800469126615691	1
83	0.000805706605922548	1
84	0.000818591478370351	1
85	0.00082045233391776	1
86	0.000852854981124937	1
87	0.00086871255346641	1
88	0.000877847262037784	1
89	0.000887275935099794	1
90	0.000888151628382736	1
91	0.000896937091673811	1
92	0.000898670957085126	1
93	0.00090031054395735	1
94	0.000914550843040257	1
95	0.000916660099311121	1
96	0.000931780436576236	1
97	0.000934191329418801	1
98	0.000940204980351739	1
99	0.000961232043861145	1
100	0.000964616016154594	1
101	0.000965444152475013	1
102	0.000970015624769188	1
103	0.000976769078790358	1
104	0.000983984144682354	1
105	0.00099030679749983	1
106	0.00100006077897078	1
107	0.00100143392823919	1
108	0.00101788065011005	0
109	0.00103815707681705	0
110	0.001043766742131	0
111	0.00109971501467449	0
112	0.00112288972184734	0
113	0.00112438258533974	0
114	0.00114510555667822	0
115	0.00115719721715677	0
116	0.00117201290176932	0
117	0.00118482822529185	0
118	0.00119911945964329	0
119	0.00120560106416643	0
120	0.00120624445319197	0
121	0.00121169090448489	0
122	0.00121353858347815	0
123	0.00123925062582104	0
124	0.00126627019326939	0
125	0.0012664002924819	0
126	0.00128546129891343	0
127	0.0012993257956265	0
128	0.00130888897270733	0
129	0.00131425291176214	0
130	0.00132331614217332	0
131	0.00132647287928918	0
