V1	V2	V3
Locus1053	0.231530731834727	NA	NA
Locus1054	0.236618605859651	NA	NA
Locus10546	0.363570198347636	NA	NA
Locus1055	0.215674085280816	NA	NA
Locus10550	0.81872569563153	NA	NA
Locus10554	0.269610879983802	NA	NA
Locus10555	0.131872296863497	NA	NA
Locus10558	0.77882365913533	NA	NA
Locus10567	0.735711611761467	NA	NA
Locus10573	0.628433577689799	NA	NA
Locus10576	0.23723761123117	NA	NA
Locus1059	0.773220598992671	NA	NA
Locus10590	0.466119546166304	NA	NA
Locus10593	0.142619471224871	NA	NA
Locus106	0.148363218345037	NA	NA
Locus10605	0.0475789845360107	NA	NA
Locus10610	0.74906837900303	NA	NA
Locus10612	0.0920218759448434	NA	NA
Locus10618	0.390253514450067	NA	NA
Locus10619	0.193878958231804	NA	NA
Locus10623	0.493188810797245	NA	NA
Locus10641	0.534393861312732	NA	NA
Locus10644	0.941411369066925	NA	NA
Locus10647	0.448459743540432	NA	NA
Locus10651	0.86871686045154	NA	NA
Locus10652	0.0413235290370143	NA	NA
Locus10660	0.237327693601674	NA	NA
Locus10661	0.0253714987198367	NA	NA
Locus10662	0.320725180338489	NA	NA
Locus10669	0.171258356891418	NA	NA
Locus10675	0.132470427908303	NA	NA
Locus10678	0.210670391756497	NA	NA
Locus10685	0.237166139023095	NA	NA
Locus10686	0.0158189450593851	NA	NA
Locus10688	0.477210377323324	NA	NA
Locus10698	0.422232977245598	NA	NA
Locus10702	0.695336739409536	NA	NA
Locus10704	0.242157062043928	NA	NA
Locus10709	0.0825806960779709	NA	NA
Locus10712	0.059331918836449	NA	NA
Locus10713	0.334620967268095	NA	NA
Locus10714	0.320076173505104	NA	NA
Locus10715	0.758850523169012	NA	NA
Locus1072	0.17409162850551	NA	NA
Locus10727	0.259303945505974	NA	NA
Locus10729	0.45560359959518	NA	NA
Locus10731	0.470224819614995	NA	NA
Locus10734	0.880641764658377	NA	NA
Locus1074	0.0102507810833751	NA	NA
Locus10741	0.398505718244745	NA	NA
Locus10744	0.277953236619429	NA	NA
Locus10745	0.0120562353917262	NA	NA
Locus10752	0.0375719630309538	NA	NA
Locus10755	0.451022465021997	NA	NA
Locus10760	0.344463814537987	NA	NA
Locus10761	0.789946202029753	NA	NA
Locus10766	0.765623618987426	NA	NA
Locus10767	0.0140414490001457	NA	NA
Locus1078	0.837079010707923	NA	NA
Locus10784	0.645944858055896	NA	NA
Locus108	0.356807416121255	NA	NA
Locus10800	0.501776996161795	NA	NA
Locus10804	0.00181453174250119	NA	NA
Locus10806	0.631875563157582	NA	NA
Locus1081	0.118251278987107	NA	NA
Locus10814	0.0437360048532004	NA	NA
Locus10816	0.0233534378839598	NA	NA
Locus10819	0.846800014809813	NA	NA
Locus10824	0.12034597357628	NA	NA
Locus10829	0.137316280387576	NA	NA
Locus10831	0.0927606671586793	NA	NA
Locus10838	0.0441802936609274	NA	NA
Locus10839	0.502236384141862	NA	NA
Locus1084	0.029364095025089	NA	NA
Locus10842	0.281042335262396	NA	NA
Locus10848	0.687168134063307	NA	NA
Locus1085	0.085237254442548	NA	NA
Locus10859	0.517728596322115	NA	NA
Locus1086	0.502509151600845	NA	NA
Locus10860	0.897925476615295	NA	NA
Locus10867	0.509640780331669	NA	NA
Locus10868	0.196652797454668	NA	NA
Locus10869	0.245497774084153	NA	NA
Locus10879	0.318386109507852	NA	NA
Locus10884	0.0139863482523614	NA	NA
Locus10890	0.358344330861653	NA	NA
Locus109	0.0220448946301267	NA	NA
Locus10901	0.0315801621564452	NA	NA
Locus10902	0.469722940425415	NA	NA
Locus10904	0.380164173596685	NA	NA
Locus10906	0.00614239156818944	NA	NA
Locus10908	0.00925031453343865	NA	NA
Locus1091	0.45489267110194	NA	NA
Locus10916	0.214293400647328	NA	NA
Locus10917	0.116421451294835	NA	NA
Locus1092	0.0921001079164313	NA	NA
Locus10922	0.525784225131656	NA	NA
Locus10923	0.63279831084035	NA	NA
Locus10925	0.156440526638234	NA	NA
Locus10930	0.543139077156592	NA	NA
Locus10942	0.308472661222608	NA	NA
Locus10943	0.038587611534145	NA	NA
Locus10945	0.104752191704651	NA	NA
Locus10946	0.583573351627599	NA	NA
Locus10951	0.458509979938999	NA	NA
Locus1096	0.00703592209477775	NA	NA
Locus10960	0.592013748264951	NA	NA
Locus10961	0.275587870255581	NA	NA
Locus10962	0.480744835347894	NA	NA
Locus10965	0.0176404199297064	NA	NA
Locus10967	0.235681022806542	NA	NA
Locus10969	0.272547232122239	NA	NA
Locus10975	0.0268153680051528	NA	NA
Locus10978	0.122582974804981	NA	NA
Locus10980	0.33646455571836	NA	NA
Locus10983	0.217133052163198	NA	NA
Locus10988	0.635518714004056	NA	NA
Locus10989	0.764955131373967	NA	NA
Locus10990	0.748038802920303	NA	NA
Locus10991	0.369491953825398	NA	NA
Locus10993	0.436569333360865	NA	NA
Locus10997	0.655100272909183	NA	NA
Locus11	0.00235912251564607	NA	NA
Locus1100	0.0969275041648057	NA	NA
Locus11001	0.896739262857517	NA	NA
Locus11003	0.237916338763236	NA	NA
Locus11004	0.873681258700238	NA	NA
Locus11005	0.672576762950317	NA	NA
Locus11009	0.242280737447687	NA	NA
Locus1101	0.244372069637582	NA	NA
Locus11010	0.978376048676078	NA	NA
Locus11026	0.00287928794458744	NA	NA
Locus1103	0.880302198983487	NA	NA
Locus11031	0.596320781404478	NA	NA
Locus11032	0.0320708025156044	NA	NA
Locus11033	0.00920373140254368	NA	NA
Locus11037	0.346352186078352	NA	NA
Locus11038	0.155454397816883	NA	NA
Locus11043	0.174740050150133	NA	NA
Locus11045	0.272008022844779	NA	NA
Locus11048	0.083518459650973	NA	NA
Locus1105	0.114951900266179	NA	NA
Locus11050	0.0423168302788936	NA	NA
Locus11065	0.345905251978739	NA	NA
Locus1107	0.506134189934193	NA	NA
Locus11072	0.0742040749143153	NA	NA
Locus11079	0.195605826462566	NA	NA
Locus11083	0.00486916129751514	NA	NA
Locus11084	0.0208354489268323	NA	NA
Locus11087	0.0103868900087043	NA	NA
Locus1109	0.0386917785523462	NA	NA
Locus11094	0.0182861224240519	NA	NA
Locus11097	0.111227969502899	NA	NA
Locus111	0.00414119674252511	NA	NA
Locus11101	0.693051194786438	NA	NA
Locus11102	0.527265659936549	NA	NA
Locus11103	0.0798485185019362	NA	NA
Locus11104	0.315694548743799	NA	NA
Locus11106	0.379311414470673	NA	NA
Locus11108	0.205883860176536	NA	NA
Locus1111	0.0629277582609863	NA	NA
Locus11113	0.664032423200283	NA	NA
Locus11119	0.51892202075328	NA	NA
Locus1112	0.0507464216602215	NA	NA
Locus11123	0.233868080080544	NA	NA
Locus11124	0.311793741973329	NA	NA
Locus1113	0.739156618048956	NA	NA
Locus11132	0.0384611853324697	NA	NA
Locus11144	0.0186004873986418	NA	NA
Locus11150	0.302357256942534	NA	NA
Locus11154	0.118181885105656	NA	NA
Locus11157	0.320964790243831	NA	NA
Locus11164	0.175110862238901	NA	NA
Locus11165	0.22558822529311	NA	NA
Locus11167	0.242580901637689	NA	NA
Locus11168	0.383086931666012	NA	NA
Locus1117	0.609415380431588	NA	NA
Locus11175	0.167435136326364	NA	NA
Locus11178	0.103294384231336	NA	NA
Locus11179	0.715709693553079	NA	NA
Locus1118	0.563193202172185	NA	NA
Locus11181	0.996469401725566	NA	NA
Locus11183	0.251747966510318	NA	NA
Locus11185	0.471352253894097	NA	NA
Locus11186	0.914274547951167	NA	NA
Locus11190	0.145695342137802	NA	NA
Locus112	0.361327983376795	NA	NA
Locus11205	0.709599233732759	NA	NA
Locus11209	0.0217750977703502	NA	NA
Locus1121	0.278772611370884	NA	NA
Locus11215	0.18810403695261	NA	NA
Locus11217	0.287613386652238	NA	NA
Locus11218	0.301090652177934	NA	NA
Locus11220	0.113939028384191	NA	NA
Locus11221	0.401365985067709	NA	NA
Locus11224	0.64300867515015	NA	NA
Locus11228	0.461177456124739	NA	NA
Locus1123	0.294065848586231	NA	NA
Locus11232	0.320813184339133	NA	NA
Locus11234	0.26232068332988	NA	NA
Locus11236	0.00358249744172095	NA	NA
Locus11238	0.259225690880808	NA	NA
Locus11247	0.0832434441602484	NA	NA
Locus11249	0.0520245890503409	NA	NA
Locus11258	0.523007908529484	NA	NA
Locus1126	0.400963133609151	NA	NA
Locus11263	0.246653285249918	NA	NA
Locus11267	0.984342287696328	NA	NA
Locus11269	0.87801735078604	NA	NA
Locus1127	0.0449551682948113	NA	NA
Locus11275	0.451494699147821	NA	NA
Locus11278	0.861952016973255	NA	NA
Locus11279	0.202371206462768	NA	NA
Locus11280	0.0374885364223981	NA	NA
Locus11285	0.588939824331301	NA	NA
Locus11290	0.170491176202311	NA	NA
Locus11296	0.238210398412034	NA	NA
Locus11309	0.978466917261148	NA	NA
Locus11310	0.459878775000456	NA	NA
Locus11314	0.524921813694197	NA	NA
Locus11316	0.757058641443402	NA	NA
Locus11318	0.376518160247304	NA	NA
Locus1132	0.322819822212234	NA	NA
Locus11324	0.945442892988426	NA	NA
Locus11335	0.324288545697427	NA	NA
Locus11342	0.352419025629674	NA	NA
Locus11345	0.184299622062074	NA	NA
Locus11348	0.0666882650700475	NA	NA
Locus11349	0.0996424361195254	NA	NA
Locus1135	0.35088284703207	NA	NA
Locus11350	0.225540645148791	NA	NA
Locus11356	0.0681888252938067	NA	NA
Locus11359	0.0676942993321271	NA	NA
Locus1136	0.426143940444366	NA	NA
Locus11362	0.00906929431125555	NA	NA
Locus11368	0.333241230886737	NA	NA
Locus1137	0.134189003868343	NA	NA
Locus11373	0.341651116853995	NA	NA
Locus11378	0.103396993135968	NA	NA
Locus1138	0.296643497927698	NA	NA
Locus11383	0.232514511841395	NA	NA
Locus11389	0.27692783032924	NA	NA
Locus11393	0.0699597821765185	NA	NA
Locus11395	0.0231757314398104	NA	NA
Locus11399	0.2283495079726	NA	NA
Locus114	0.283308773665054	NA	NA
Locus1140	0.56091311685332	NA	NA
Locus11407	0.631615296282779	NA	NA
Locus11409	0.229456270239043	NA	NA
Locus11414	0.9686528610211	NA	NA
Locus11423	0.45039721886881	NA	NA
Locus11425	0.0871295109151548	NA	NA
Locus11429	0.174680045065046	NA	NA
Locus1143	0.0161110607272744	NA	NA
Locus11431	0.0678127940266945	NA	NA
Locus11434	0.831296170273916	NA	NA
Locus11436	0.301209437663558	NA	NA
Locus11437	0.11380161774827	NA	NA
Locus11439	0.445190639172545	NA	NA
Locus11444	0.0280121065864284	NA	NA
Locus1145	0.14807808304604	NA	NA
Locus11450	0.541063021214015	NA	NA
Locus11452	0.176366002697849	NA	NA
Locus11456	0.144130804387812	NA	NA
Locus11457	0.083763913056192	NA	NA
Locus11458	0.412999461069246	NA	NA
Locus11462	0.763785536195345	NA	NA
Locus11464	0.773526632465548	NA	NA
Locus11465	0.104575421159552	NA	NA
Locus11467	0.824750037743657	NA	NA
Locus11468	0.0922211907329757	NA	NA
Locus1147	0.924780536720406	NA	NA
Locus11470	0.519866842859134	NA	NA
Locus11474	0.0933891478679761	NA	NA
Locus11479	0.223489532597854	NA	NA
Locus1148	0.611853092077272	NA	NA
Locus11484	0.165272642830723	NA	NA
Locus11487	0.0600011654989513	NA	NA
Locus11490	0.286151203533899	NA	NA
Locus11491	0.724116069379739	NA	NA
Locus11492	0.193660769090673	NA	NA
Locus11493	0.485850150871286	NA	NA
Locus11494	0.192811847121952	NA	NA
Locus11495	0.778670866833379	NA	NA
Locus11497	0.00626728770877572	NA	NA
Locus11498	0.0782578946003529	NA	NA
Locus11499	0.123891221204203	NA	NA
Locus11503	0.728105109090697	NA	NA
Locus11507	0.0797839598157071	NA	NA
Locus11518	0.106196600926829	NA	NA
Locus11522	0.451610045975083	NA	NA
Locus11523	0.856427230817327	NA	NA
Locus11525	0.0285428086254455	NA	NA
Locus1153	0.652208603161484	NA	NA
Locus11531	0.00160931337895902	NA	NA
Locus11537	0.152314949208857	NA	NA
Locus1154	0.277296491667681	NA	NA
Locus11540	0.474975726527516	NA	NA
Locus11541	0.491533703950692	NA	NA
Locus11544	0.0213824106250237	NA	NA
Locus11547	0.261442124885058	NA	NA
Locus11550	0.289139119647496	NA	NA
Locus11553	0.260225413689112	NA	NA
Locus11555	0.544118895723766	NA	NA
Locus11556	0.369223180035206	NA	NA
Locus11562	0.573218570438189	NA	NA
Locus11566	0.381780493060297	NA	NA
Locus11569	0.285538861903946	NA	NA
Locus11573	0.307790713200802	NA	NA
Locus11579	0.00488998180810057	NA	NA
Locus11582	0.306019427547855	NA	NA
Locus11586	0.733131406869787	NA	NA
Locus11588	0.27987141056548	NA	NA
Locus1159	0.130957786187725	NA	NA
Locus116	0.232258825147666	NA	NA
Locus1160	0.0389336708324376	NA	NA
Locus11602	0.0303741033340677	NA	NA
Locus11603	0.316557948017893	NA	NA
Locus11608	0.2943691000893	NA	NA
Locus11610	0.463969877585163	NA	NA
Locus11623	0.599820725927498	NA	NA
Locus11628	0.255544976550138	NA	NA
Locus1163	0.0553639819761753	NA	NA
Locus11639	0.521162514933751	NA	NA
Locus1164	0.502988313618937	NA	NA
Locus11644	0.376967721345328	NA	NA
Locus11645	0.528892707423042	NA	NA
Locus11646	0.530472438062375	NA	NA
Locus11649	0.632845066759084	NA	NA
Locus11651	0.892144947009402	NA	NA
Locus11654	0.662635784392926	NA	NA
Locus1167	0.55238840903497	NA	NA
Locus11671	0.0978475847561088	NA	NA
Locus11672	0.961086136069321	NA	NA
Locus11673	0.341251489688287	NA	NA
Locus11678	0.133429101269751	NA	NA
Locus11679	0.953149359753235	NA	NA
Locus11680	0.493513799716097	NA	NA
Locus11683	0.629093551229315	NA	NA
Locus11684	0.237007944525099	NA	NA
Locus11687	0.466678781550248	NA	NA
Locus11691	0.0544875667236417	NA	NA
Locus11693	0.229383835938542	NA	NA
Locus11694	0.441973791190984	NA	NA
Locus11695	0.646784588997217	NA	NA
Locus11696	0.910660088707961	NA	NA
Locus11698	0.0785304770254996	NA	NA
Locus11699	0.171331091703917	NA	NA
Locus11701	0.0172910698210461	NA	NA
Locus11702	0.126020671266128	NA	NA
Locus11703	0.0301160946965723	NA	NA
Locus11705	0.510784369817295	NA	NA
Locus1172	0.0931951134767504	NA	NA
Locus11720	0.84223223820975	NA	NA
Locus11722	2.20278962665232e-05	NA	NA
Locus11724	0.0188989103241016	NA	NA
Locus11727	0.0965020973621551	NA	NA
Locus1173	0.158176236143674	NA	NA
Locus11730	0.0707338939295593	NA	NA
Locus11735	0.272258213934019	NA	NA
Locus11736	0.382771491034469	NA	NA
Locus11740	0.179464306755507	NA	NA
Locus11745	0.728059356667944	NA	NA
Locus11752	0.752774985256191	NA	NA
Locus11757	0.909418642915521	NA	NA
Locus11758	0.244819080811099	NA	NA
Locus11760	0.104373197812366	NA	NA
Locus11762	0.766748788261856	NA	NA
Locus1177	0.211298922401073	NA	NA
Locus11771	0.248957904747648	NA	NA
Locus11774	0.190444593525369	NA	NA
Locus1178	0.594848285482254	NA	NA
Locus11781	0.53249848956797	NA	NA
Locus11782	0.074559056288064	NA	NA
Locus11784	0.885102384622434	NA	NA
Locus11786	0.95222607025062	NA	NA
Locus11788	0.44163727698586	NA	NA
Locus11789	0.756500618404289	NA	NA
Locus11797	0.95750437522037	NA	NA
Locus118	0.297148080289951	NA	NA
Locus11800	0.333461234647524	NA	NA
Locus11804	0.0397258432775025	NA	NA
Locus11812	0.0983654136298642	NA	NA
Locus11815	0.435700306171099	NA	NA
Locus1182	0.876200315570969	NA	NA
Locus11820	0.523191449843145	NA	NA
Locus11832	0.108032167510162	NA	NA
Locus11834	0.0670575385061885	NA	NA
Locus11836	0.127707503998581	NA	NA
Locus11837	0.108064852645362	NA	NA
Locus11844	0.753173423932794	NA	NA
Locus11848	0.263881751564315	NA	NA
Locus1185	0.00183477413392424	NA	NA
Locus11850	0.0975692118405566	NA	NA
Locus11851	0.228633867394197	NA	NA
Locus11853	0.379720156782045	NA	NA
Locus11854	0.762798177851585	NA	NA
Locus11855	0.106405169454117	NA	NA
Locus11856	0.223174486710738	NA	NA
Locus11858	0.182576281401723	NA	NA
Locus1186	0.142171608145072	NA	NA
Locus11860	0.163251234563624	NA	NA
Locus11865	0.397366928971515	NA	NA
Locus11868	0.174884781693003	NA	NA
Locus1187	0.28180858104976	NA	NA
Locus11870	0.00943804469220057	NA	NA
Locus11873	0.680141884047217	NA	NA
Locus11876	0.63803348277226	NA	NA
Locus11885	0.971772003279418	NA	NA
Locus11887	0.849968626283816	NA	NA
Locus11889	0.0365189993389022	NA	NA
Locus11893	0.488160817897951	NA	NA
Locus11903	0.0836573220972442	NA	NA
Locus11904	0.161827184330811	NA	NA
Locus11907	0.818837725576462	NA	NA
Locus1191	0.885364662783497	NA	NA
Locus11911	0.762692823727313	NA	NA
Locus11912	0.176561068934954	NA	NA
Locus11917	0.541159845314242	NA	NA
Locus11920	0.10504601374226	NA	NA
Locus11921	0.553519156026934	NA	NA
Locus1193	0.379029058560052	NA	NA
Locus11930	0.498619726687346	NA	NA
Locus11932	0.0855085076018798	NA	NA
Locus11933	0.0260131484231634	NA	NA
Locus11936	0.0408352224864671	NA	NA
Locus11938	0.150347646573993	NA	NA
Locus1194	0.789573511125824	NA	NA
Locus11947	0.0437643919771778	NA	NA
Locus11948	0.108999032733667	NA	NA
Locus1195	0.424076142611205	NA	NA
Locus11951	0.934760044655676	NA	NA
Locus11954	0.360652542527603	NA	NA
Locus11955	0.540571154342259	NA	NA
Locus11956	0.089430523729327	NA	NA
Locus11959	0.551539605532671	NA	NA
Locus11962	0.674118206860209	NA	NA
Locus11967	0.139422722154768	NA	NA
Locus11971	0.208396297741324	NA	NA
Locus1198	0.75948722943658	NA	NA
Locus11984	0.59939413137952	NA	NA
Locus11985	0.698892237083457	NA	NA
Locus11988	0.272087713816469	NA	NA
Locus1199	0.162189852056227	NA	NA
Locus11991	0.342047379638591	NA	NA
Locus11999	0.259044793891176	NA	NA
Locus12005	0.579620875077762	NA	NA
Locus12009	0.148981028492489	NA	NA
Locus1201	0.228867972892373	NA	NA
Locus12016	0.259848363428425	NA	NA
Locus12020	0.067262657086822	NA	NA
Locus12024	0.510488281469656	NA	NA
Locus12026	0.44118376244916	NA	NA
Locus12028	0.095001920956492	NA	NA
Locus12029	0.338125531659908	NA	NA
Locus1203	0.00164046990095064	NA	NA
Locus12030	0.112820416579519	NA	NA
Locus12032	0.42025632059848	NA	NA
Locus12035	0.151058800943943	NA	NA
Locus12036	0.381276004833921	NA	NA
Locus12038	0.428194065527672	NA	NA
Locus12039	0.132101630758769	NA	NA
Locus12044	0.553289541384546	NA	NA
Locus12048	0.00355161168157852	NA	NA
Locus1205	0.658114083002792	NA	NA
Locus12058	0.31238863723347	NA	NA
Locus12061	0.000852854981124938	NA	NA
Locus12064	0.0105773615357166	NA	NA
Locus12066	0.145486104754612	NA	NA
Locus12067	0.194560091152537	NA	NA
Locus1207	0.722235037155393	NA	NA
Locus12072	0.141720448842942	NA	NA
Locus12074	0.171497824393211	NA	NA
Locus12080	0.806123683717122	NA	NA
Locus12081	0.522100245384935	NA	NA
Locus12084	0.110469072858919	NA	NA
Locus12085	0.258563792813603	NA	NA
Locus12095	0.404048497543223	NA	NA
Locus12098	0.203718016889664	NA	NA
Locus12099	0.00344915189261501	NA	NA
Locus1210	0.151941266655875	NA	NA
Locus12101	0.421410826911369	NA	NA
Locus12103	0.506704702733922	NA	NA
Locus12106	0.385063930491105	NA	NA
Locus12107	0.0546666684416648	NA	NA
Locus12111	0.282665238742599	NA	NA
Locus12112	0.0491819674550081	NA	NA
Locus12113	0.0113375674152129	NA	NA
Locus12116	0.103797992984283	NA	NA
Locus1212	0.590313535263825	NA	NA
Locus12121	0.565068591997413	NA	NA
Locus12123	0.0434281430878308	NA	NA
Locus12127	0.121087249480432	NA	NA
Locus12136	0.126062928835101	NA	NA
Locus12138	0.253304200090587	NA	NA
Locus12139	0.978485553997237	NA	NA
Locus1214	0.0964194283790974	NA	NA
Locus12143	0.284379999483388	NA	NA
Locus12149	0.00347907406488289	NA	NA
Locus1215	0.151137068871966	NA	NA
Locus12153	0.188433676973064	NA	NA
Locus12156	0.0268954246420173	NA	NA
Locus1216	0.00331704694069031	NA	NA
Locus12162	0.392247866645002	NA	NA
Locus12164	0.426002666524016	NA	NA
Locus1217	0.0865711407132819	NA	NA
Locus12170	0.513022645087428	NA	NA
Locus12174	0.132446893358836	NA	NA
Locus1218	0.0824793416636439	NA	NA
Locus12180	0.0027539745247063	NA	NA
Locus12182	0.640475352023166	NA	NA
Locus12184	0.0531538813077422	NA	NA
Locus122	0.0849050222664704	NA	NA
Locus12203	0.581346226230993	NA	NA
Locus12204	0.211696673172241	NA	NA
Locus1221	0.117714897977706	NA	NA
Locus12217	0.305113676196307	NA	NA
Locus12222	0.0196897075303712	NA	NA
Locus12223	0.281342887389774	NA	NA
Locus12225	0.150882269802858	NA	NA
Locus12226	0.255375364440725	NA	NA
Locus1223	0.114995471555428	NA	NA
Locus12238	0.384460593744721	NA	NA
Locus1224	0.081815794182846	NA	NA
Locus12242	0.0975177804599904	NA	NA
Locus12245	0.0608437704886646	NA	NA
Locus12248	0.435086308913208	NA	NA
Locus1225	0.0336382895697165	NA	NA
Locus12251	0.282140553425911	NA	NA
Locus12258	0.108695373890472	NA	NA
Locus12259	0.083848985225702	NA	NA
Locus12266	0.0773386555992316	NA	NA
Locus12267	0.00164900129954287	NA	NA
Locus12268	0.121096591792808	NA	NA
