Locus5244	Locus7976	NODE_133484_length_153_	NODE_150381_length_336_	NODE_154647_length_149_
o1	0.415532011238711	-0.060823946726923	0.0973100185846835	-0.190294821274233	-0.295507091597116
o2	0.300176295189233	-0.206253968298815	0.330693440721545	-0.19413571290997	-0.152260135229918
o3	0.21757672890582	-0.141381500647119	0.0825791226129865	-0.176102028623307	-0.5488216661304
t1	0.340306232193234	0.0413535147493232	-0.0648295085918844	0.031968879574664	0.0216430683175051
t2	0.0897710328660824	0.027658433354732	0.101360688855441	-0.0376757354014725	0.284095654686904
t3	0.219826154842904	0.21017797471753	-0.185620929400402	0.119138279639619	0.304240574000394
v1	-0.201749104457605	-0.0998648486160433	-0.107545705626145	-0.125519966229161	-0.0428743836381708
v2	0.100840102797098	-0.0136970692378939	0.024564968256679	-0.175038387086394	0.0677015699681686
v3	-0.0549275453527338	0.348985716286544	-0.0855898992540135	0.0837296969408659	0.230114115060196
p1	0.517999666477335	0.389939295535558	0.424195491506707	0.2068480328825	0.340254255803883
p2	0.326490211461919	0.36231450058304	0.403280732788684	0.308679679487567	0.383071122802299
p3	0.5209320913205	0.510603389423409	0.312907581831721	0.504190082325021	0.231700858730934
j1	-0.340646593904778	-0.229677353305358	0.242210958972796	0.125296842376095	-0.615272113179648
j2	-0.449926868504811	-0.418395542889318	0.330282811438325	0.136628831332252	-0.680941321035206
ja	-0.120451852719659	-0.244484481929079	0.31865612829616	0.145025891973452	-0.484303088508613
